============ Train epoch 1 ============
 client 1| Loss: 0.6930 | Test  Acc: 0.5522
 client 2| Loss: 0.3546 | Test  Acc: 0.7109
 client 3| Loss: 0.3688 | Test  Acc: 0.7109
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 42 ============
 client 0| Loss: 0.3751 | Test  Acc: 0.7040
 client 1| Loss: 0.6733 | Test  Acc: 0.5584
 client 2| Loss: 0.3632 | Test  Acc: 0.7168
 client 3| Loss: 0.3823 | Test  Acc: 0.7140
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 43 ============
 client 0| Loss: 0.3714 | Test  Acc: 0.7166
 client 1| Loss: 0.6869 | Test  Acc: 0.5538
 client 2| Loss: 0.3546 | Test  Acc: 0.7112
 client 3| Loss: 0.3649 | Test  Acc: 0.7161
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 44 ============
 client 0| Loss: 0.3760 | Test  Acc: 0.7052
 client 1| Loss: 0.6819 | Test  Acc: 0.5518
 client 2| Loss: 0.3578 | Test  Acc: 0.7145
 client 3| Loss: 0.3721 | Test  Acc: 0.7153
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 45 ============
 client 0| Loss: 0.3770 | Test  Acc: 0.7107
 client 1| Loss: 0.6694 | Test  Acc: 0.5422
 client 2| Loss: 0.3540 | Test  Acc: 0.6993
 client 3| Loss: 0.3636 | Test  Acc: 0.7168
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 46 ============
 client 0| Loss: 0.3660 | Test  Acc: 0.7068
 client 1| Loss: 0.6694 | Test  Acc: 0.5584
 client 2| Loss: 0.3560 | Test  Acc: 0.7140
 client 3| Loss: 0.3675 | Test  Acc: 0.7070
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 47 ============
 client 0| Loss: 0.3767 | Test  Acc: 0.7090
 client 1| Loss: 0.6637 | Test  Acc: 0.5524
 client 2| Loss: 0.3550 | Test  Acc: 0.7118
 client 3| Loss: 0.3546 | Test  Acc: 0.7138
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 48 ============
 client 0| Loss: 0.3624 | Test  Acc: 0.6961
 client 1| Loss: 0.6622 | Test  Acc: 0.5472
 client 2| Loss: 0.3611 | Test  Acc: 0.7068
 client 3| Loss: 0.3636 | Test  Acc: 0.7073
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 49 ============
 client 0| Loss: 0.3743 | Test  Acc: 0.7034
 client 1| Loss: 0.6557 | Test  Acc: 0.5440
 client 2| Loss: 0.3545 | Test  Acc: 0.7004
 client 3| Loss: 0.3518 | Test  Acc: 0.7069
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 50 ============
 client 0| Loss: 0.3612 | Test  Acc: 0.7026
 client 1| Loss: 0.6556 | Test  Acc: 0.5649
 client 2| Loss: 0.3593 | Test  Acc: 0.7074
 client 3| Loss: 0.3608 | Test  Acc: 0.7039
 server  | Loss: 0.3533 | Test  Acc: 0.7454
