============ Train epoch 1 ============
 client 2| Loss: 0.2695 | Test  Acc: 0.9908
 client 3| Loss: 0.2727 | Test  Acc: 0.9919
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 43 ============
 client 0| Loss: 0.2172 | Test  Acc: 0.9917
 client 1| Loss: 0.2021 | Test  Acc: 0.0957
 client 2| Loss: 0.2209 | Test  Acc: 0.9909
 client 3| Loss: 0.2194 | Test  Acc: 0.9913
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 44 ============
 client 0| Loss: 0.2233 | Test  Acc: 0.9915
 client 1| Loss: 0.2361 | Test  Acc: 0.0957
 client 2| Loss: 0.2206 | Test  Acc: 0.9913
 client 3| Loss: 0.2230 | Test  Acc: 0.9911
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 45 ============
 client 0| Loss: 0.2187 | Test  Acc: 0.9911
 client 1| Loss: 0.2140 | Test  Acc: 0.1017
 client 2| Loss: 0.2264 | Test  Acc: 0.9863
 client 3| Loss: 0.2228 | Test  Acc: 0.9915
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 46 ============
 client 0| Loss: 0.2364 | Test  Acc: 0.9904
 client 1| Loss: 0.2159 | Test  Acc: 0.0957
 client 2| Loss: 0.2160 | Test  Acc: 0.9910
 client 3| Loss: 0.2278 | Test  Acc: 0.9907
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 47 ============
 client 0| Loss: 0.2300 | Test  Acc: 0.9913
 client 1| Loss: 0.2133 | Test  Acc: 0.0958
 client 2| Loss: 0.2225 | Test  Acc: 0.9912
 client 3| Loss: 0.2310 | Test  Acc: 0.9906
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 48 ============
 client 0| Loss: 0.2231 | Test  Acc: 0.9907
 client 1| Loss: 0.2115 | Test  Acc: 0.0957
 client 2| Loss: 0.2230 | Test  Acc: 0.9898
 client 3| Loss: 0.2230 | Test  Acc: 0.9904
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 49 ============
 client 0| Loss: 0.2318 | Test  Acc: 0.9887
 client 1| Loss: 0.2169 | Test  Acc: 0.0956
 client 2| Loss: 0.2199 | Test  Acc: 0.9898
 client 3| Loss: 0.2436 | Test  Acc: 0.9911
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 50 ============
 client 0| Loss: 0.2231 | Test  Acc: 0.9912
 client 1| Loss: 0.2120 | Test  Acc: 0.1653
 client 2| Loss: 0.2199 | Test  Acc: 0.9896
 client 3| Loss: 0.2340 | Test  Acc: 0.9912
 server  | Loss: 0.2771 | Test  Acc: 0.9923
