============ Train epoch 1 ============
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 33 ============
 client 0| Loss: 0.3901 | Test  Acc: 0.9842
 client 1| Loss: 0.3619 | Test  Acc: 0.9802
 client 2| Loss: 0.3699 | Test  Acc: 0.7718
 client 3| Loss: 0.3020 | Test  Acc: 0.8869
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 34 ============
 client 0| Loss: 0.3689 | Test  Acc: 0.9791
 client 1| Loss: 0.3205 | Test  Acc: 0.9816
 client 2| Loss: 0.3598 | Test  Acc: 0.7093
 client 3| Loss: 0.3482 | Test  Acc: 0.9019
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 35 ============
 client 0| Loss: 0.3793 | Test  Acc: 0.9823
 client 1| Loss: 0.3568 | Test  Acc: 0.9727
 client 2| Loss: 0.3715 | Test  Acc: 0.7422
 client 3| Loss: 0.3015 | Test  Acc: 0.8984
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 36 ============
 client 0| Loss: 0.3724 | Test  Acc: 0.9806
 client 1| Loss: 0.3234 | Test  Acc: 0.9837
 client 2| Loss: 0.3636 | Test  Acc: 0.7115
 client 3| Loss: 0.3531 | Test  Acc: 0.9100
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 37 ============
 client 0| Loss: 0.3871 | Test  Acc: 0.9836
 client 1| Loss: 0.3492 | Test  Acc: 0.9819
 client 2| Loss: 0.3682 | Test  Acc: 0.6857
 client 3| Loss: 0.3089 | Test  Acc: 0.8971
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 38 ============
 client 0| Loss: 0.3708 | Test  Acc: 0.9818
 client 1| Loss: 0.3312 | Test  Acc: 0.9786
 client 2| Loss: 0.3707 | Test  Acc: 0.6873
 client 3| Loss: 0.3557 | Test  Acc: 0.9226
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 39 ============
 client 0| Loss: 0.4033 | Test  Acc: 0.9831
 client 1| Loss: 0.3549 | Test  Acc: 0.9812
 client 2| Loss: 0.3663 | Test  Acc: 0.7157
 client 3| Loss: 0.3086 | Test  Acc: 0.8827
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 40 ============
 client 0| Loss: 0.3704 | Test  Acc: 0.9755
 client 1| Loss: 0.3288 | Test  Acc: 0.9776
 client 2| Loss: 0.3598 | Test  Acc: 0.6832
 client 3| Loss: 0.3562 | Test  Acc: 0.9038
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 41 ============
 client 0| Loss: 0.3975 | Test  Acc: 0.9844
 client 1| Loss: 0.3717 | Test  Acc: 0.9827
 client 2| Loss: 0.3732 | Test  Acc: 0.7372
 client 3| Loss: 0.3128 | Test  Acc: 0.8883
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 42 ============
 client 0| Loss: 0.3702 | Test  Acc: 0.9820
 client 1| Loss: 0.3308 | Test  Acc: 0.9809
 client 2| Loss: 0.3546 | Test  Acc: 0.6710
