============ Train epoch 1 ============
 client 0| Loss: 0.3199 | Test  Acc: 0.9267
 client 1| Loss: 0.3688 | Test  Acc: 0.9046
 client 2| Loss: 0.3157 | Test  Acc: 0.9270
 client 3| Loss: 0.3163 | Test  Acc: 0.9270
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 31 ============
 client 0| Loss: 0.3186 | Test  Acc: 0.9268
 client 1| Loss: 0.3587 | Test  Acc: 0.8985
 client 2| Loss: 0.3212 | Test  Acc: 0.9247
 client 3| Loss: 0.3240 | Test  Acc: 0.9265
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 32 ============
 client 0| Loss: 0.3202 | Test  Acc: 0.9272
 client 1| Loss: 0.3693 | Test  Acc: 0.9064
 client 2| Loss: 0.3196 | Test  Acc: 0.9261
 client 3| Loss: 0.3170 | Test  Acc: 0.9271
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 33 ============
 client 0| Loss: 0.3185 | Test  Acc: 0.9256
 client 1| Loss: 0.3647 | Test  Acc: 0.9055
 client 2| Loss: 0.3256 | Test  Acc: 0.9212
 client 3| Loss: 0.3244 | Test  Acc: 0.9292
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 34 ============
 client 0| Loss: 0.3189 | Test  Acc: 0.9277
 client 1| Loss: 0.3661 | Test  Acc: 0.9119
 client 2| Loss: 0.3187 | Test  Acc: 0.9288
 client 3| Loss: 0.3249 | Test  Acc: 0.9272
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 35 ============
 client 0| Loss: 0.3150 | Test  Acc: 0.9255
 client 1| Loss: 0.3654 | Test  Acc: 0.9053
 client 2| Loss: 0.3294 | Test  Acc: 0.9292
 client 3| Loss: 0.3234 | Test  Acc: 0.9289
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 36 ============
 client 0| Loss: 0.3203 | Test  Acc: 0.9254
 client 1| Loss: 0.3677 | Test  Acc: 0.9059
 client 2| Loss: 0.3208 | Test  Acc: 0.9283
 client 3| Loss: 0.3276 | Test  Acc: 0.9231
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 37 ============
 client 0| Loss: 0.3149 | Test  Acc: 0.9281
 client 1| Loss: 0.3683 | Test  Acc: 0.9008
 client 2| Loss: 0.3294 | Test  Acc: 0.9256
 client 3| Loss: 0.3230 | Test  Acc: 0.9244
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 38 ============
 client 0| Loss: 0.3281 | Test  Acc: 0.9260
 client 1| Loss: 0.3637 | Test  Acc: 0.9036
 client 2| Loss: 0.3220 | Test  Acc: 0.9220
 client 3| Loss: 0.3326 | Test  Acc: 0.9267
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 39 ============
 client 0| Loss: 0.3249 | Test  Acc: 0.9216
 client 1| Loss: 0.3629 | Test  Acc: 0.9068
 client 2| Loss: 0.3299 | Test  Acc: 0.9224
 client 3| Loss: 0.3302 | Test  Acc: 0.9225
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 40 ============
 client 0| Loss: 0.3284 | Test  Acc: 0.9259
 client 1| Loss: 0.3718 | Test  Acc: 0.9115
 client 2| Loss: 0.3323 | Test  Acc: 0.9232
 client 3| Loss: 0.3283 | Test  Acc: 0.9271
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 41 ============
 client 0| Loss: 0.3206 | Test  Acc: 0.9271
 client 1| Loss: 0.3653 | Test  Acc: 0.9073
 client 2| Loss: 0.3300 | Test  Acc: 0.9279
 client 3| Loss: 0.3351 | Test  Acc: 0.9253
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 42 ============
 client 0| Loss: 0.3353 | Test  Acc: 0.9238
 client 1| Loss: 0.3722 | Test  Acc: 0.9076
 client 2| Loss: 0.3267 | Test  Acc: 0.9240
 client 3| Loss: 0.3266 | Test  Acc: 0.9273
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 43 ============
 client 0| Loss: 0.3253 | Test  Acc: 0.9265
 client 1| Loss: 0.3640 | Test  Acc: 0.9112
 client 2| Loss: 0.3362 | Test  Acc: 0.9269
 client 3| Loss: 0.3392 | Test  Acc: 0.9274
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 44 ============
 client 0| Loss: 0.3372 | Test  Acc: 0.9279
 client 1| Loss: 0.3726 | Test  Acc: 0.9057
 client 2| Loss: 0.3298 | Test  Acc: 0.9269
 client 3| Loss: 0.3253 | Test  Acc: 0.9238
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 45 ============
 client 0| Loss: 0.3340 | Test  Acc: 0.9262
 client 1| Loss: 0.3698 | Test  Acc: 0.9038
 client 2| Loss: 0.3309 | Test  Acc: 0.9284
 client 3| Loss: 0.3375 | Test  Acc: 0.9225
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 46 ============
 client 0| Loss: 0.3433 | Test  Acc: 0.9261
 client 1| Loss: 0.3704 | Test  Acc: 0.9009
 client 2| Loss: 0.3367 | Test  Acc: 0.9264
 client 3| Loss: 0.3334 | Test  Acc: 0.9259
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 47 ============
 client 0| Loss: 0.3401 | Test  Acc: 0.9287
 client 1| Loss: 0.3827 | Test  Acc: 0.9036
 client 2| Loss: 0.3340 | Test  Acc: 0.9257
 client 3| Loss: 0.3348 | Test  Acc: 0.9216
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 48 ============
 client 0| Loss: 0.3365 | Test  Acc: 0.9242
 client 1| Loss: 0.3704 | Test  Acc: 0.9008
 client 2| Loss: 0.3401 | Test  Acc: 0.9262
 client 3| Loss: 0.3426 | Test  Acc: 0.9281
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 49 ============
 client 0| Loss: 0.3416 | Test  Acc: 0.9290
 client 1| Loss: 0.3801 | Test  Acc: 0.9083
 client 2| Loss: 0.3344 | Test  Acc: 0.9265
 client 3| Loss: 0.3372 | Test  Acc: 0.9233
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 50 ============
 client 0| Loss: 0.3473 | Test  Acc: 0.9246
 client 1| Loss: 0.3617 | Test  Acc: 0.8903
 client 2| Loss: 0.3393 | Test  Acc: 0.9266
 client 3| Loss: 0.3417 | Test  Acc: 0.9281
 server  | Loss: 0.3105 | Test  Acc: 0.9338
