============ Train epoch 1 ============
 client 0| Loss: 0.3825 | Test  Acc: 0.6327
 client 1| Loss: 0.3715 | Test  Acc: 0.2034
 client 2| Loss: 0.3626 | Test  Acc: 0.1502
 client 3| Loss: 0.3406 | Test  Acc: 0.4344
 server  | Loss: 0.3421 | Test  Acc: 0.6376============ Train epoch 39 ============
 client 0| Loss: 0.3591 | Test  Acc: 0.6317
 client 1| Loss: 0.3479 | Test  Acc: 0.1746
 client 2| Loss: 0.3548 | Test  Acc: 0.1754
 client 3| Loss: 0.3594 | Test  Acc: 0.4296
 server  | Loss: 0.3421 | Test  Acc: 0.6376============ Train epoch 40 ============
 client 0| Loss: 0.3830 | Test  Acc: 0.6359
 client 1| Loss: 0.3713 | Test  Acc: 0.2269
 client 2| Loss: 0.3600 | Test  Acc: 0.1997
 client 3| Loss: 0.3395 | Test  Acc: 0.4239
 server  | Loss: 0.3421 | Test  Acc: 0.6376============ Train epoch 41 ============
 client 0| Loss: 0.3635 | Test  Acc: 0.6378
 client 1| Loss: 0.3593 | Test  Acc: 0.1777
 client 2| Loss: 0.3544 | Test  Acc: 0.1653
 client 3| Loss: 0.3569 | Test  Acc: 0.4535
 server  | Loss: 0.3635 | Test  Acc: 0.6378============ Train epoch 42 ============
 client 0| Loss: 0.3742 | Test  Acc: 0.6338
 client 1| Loss: 0.3517 | Test  Acc: 0.2775
 client 2| Loss: 0.3592 | Test  Acc: 0.1920
 client 3| Loss: 0.3463 | Test  Acc: 0.4372
 server  | Loss: 0.3635 | Test  Acc: 0.6378============ Train epoch 43 ============
 client 0| Loss: 0.3553 | Test  Acc: 0.6268
 client 1| Loss: 0.3684 | Test  Acc: 0.2225
 client 2| Loss: 0.3621 | Test  Acc: 0.1725
 client 3| Loss: 0.3541 | Test  Acc: 0.4556
 server  | Loss: 0.3635 | Test  Acc: 0.6378============ Train epoch 44 ============
 client 0| Loss: 0.3741 | Test  Acc: 0.6235
 client 1| Loss: 0.3566 | Test  Acc: 0.2727
 client 2| Loss: 0.3484 | Test  Acc: 0.2098
 client 3| Loss: 0.3430 | Test  Acc: 0.4436
 server  | Loss: 0.3635 | Test  Acc: 0.6378============ Train epoch 45 ============
 client 0| Loss: 0.3512 | Test  Acc: 0.6389
 client 1| Loss: 0.3641 | Test  Acc: 0.2476
 client 2| Loss: 0.3620 | Test  Acc: 0.1736
 client 3| Loss: 0.3600 | Test  Acc: 0.4649
 server  | Loss: 0.3512 | Test  Acc: 0.6389============ Train epoch 46 ============
 client 0| Loss: 0.3763 | Test  Acc: 0.6305
 client 1| Loss: 0.3420 | Test  Acc: 0.2585
 client 2| Loss: 0.3755 | Test  Acc: 0.2546
 client 3| Loss: 0.3449 | Test  Acc: 0.4516
 server  | Loss: 0.3512 | Test  Acc: 0.6389============ Train epoch 47 ============
 client 0| Loss: 0.3497 | Test  Acc: 0.6263
 client 1| Loss: 0.4153 | Test  Acc: 0.2927
 client 2| Loss: 0.3669 | Test  Acc: 0.1697
 client 3| Loss: 0.3664 | Test  Acc: 0.4635
 server  | Loss: 0.3512 | Test  Acc: 0.6389============ Train epoch 48 ============
 client 0| Loss: 0.3794 | Test  Acc: 0.6397
 client 1| Loss: 0.3455 | Test  Acc: 0.2600
 client 2| Loss: 0.3572 | Test  Acc: 0.2291
 client 3| Loss: 0.3484 | Test  Acc: 0.4652
 server  | Loss: 0.3794 | Test  Acc: 0.6397============ Train epoch 49 ============
 client 0| Loss: 0.3537 | Test  Acc: 0.6197
 client 1| Loss: 0.3712 | Test  Acc: 0.2815
 client 2| Loss: 0.3642 | Test  Acc: 0.1838
 client 3| Loss: 0.3549 | Test  Acc: 0.4510
 server  | Loss: 0.3794 | Test  Acc: 0.6397============ Train epoch 50 ============
 client 0| Loss: 0.3786 | Test  Acc: 0.6362
 client 1| Loss: 0.3576 | Test  Acc: 0.2888
 client 2| Loss: 0.3503 | Test  Acc: 0.2042
 client 3| Loss: 0.3513 | Test  Acc: 0.4662
 server  | Loss: 0.3794 | Test  Acc: 0.6397
