============ Train epoch 1 ============
 client 2| Loss: 0.3383 | Test  Acc: 0.9839
 client 3| Loss: 0.3397 | Test  Acc: 0.9819
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 49 ============
 client 0| Loss: 0.3341 | Test  Acc: 0.9817
 client 1| Loss: 0.3394 | Test  Acc: 0.9850
 client 2| Loss: 0.3342 | Test  Acc: 0.9836
 client 3| Loss: 0.3382 | Test  Acc: 0.9818
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 50 ============
 client 0| Loss: 0.3364 | Test  Acc: 0.9837
 client 1| Loss: 0.3306 | Test  Acc: 0.9800
 client 2| Loss: 0.3477 | Test  Acc: 0.9817
 client 3| Loss: 0.3345 | Test  Acc: 0.9836
 server  | Loss: 0.2992 | Test  Acc: 0.9922
